bookID,title,authors,year,publisher,subject
26422,Fullmetal Alchemist  Vol. 14 (Fullmetal Alchemist  #14),"""Hiromu Arakawa,Akira Watanabe""",1985,VIZ Media LLC,Religion
26426,Fullmetal Alchemist  Vol. 12 (Fullmetal Alchemist  #12),"""Hiromu Arakawa,Akira Watanabe""",1979,VIZ Media LLC,Literature
44734,Fullmetal Alchemist  Vol. 6 (Fullmetal Alchemist  #6),"""Hiromu Arakawa,Akira Watanabe""",2009,VIZ Media LLC,Arts and recreation
38674,Walt Disney's Peter Pan (A Little Golden Book),"""Walt Disney Company,Al Dempster""",1960,Golden/Disney,Religion
23581,"Still More George W. Bushisms: ""Neither in French nor in English nor in Mexican""","""Jacob Weisberg,Al Franken""",1960,Fireside,Religion
23964,Ecstasy,"""Irvine Welsh,Alain Defossé""",1993,Points,Technology
15701,Introducing Camus,"""David Zane Mairowitz,Alain Korkos""",1983,Totem Books,Science
23653,The Hobbit  or  There and Back Again,"""J.R.R. Tolkien,Alan Lee""",1995,Houghton Mifflin Company,History and geography
35,The Lord of the Rings (The Lord of the Rings  #1-3),"""J.R.R. Tolkien,Alan Lee""",2019,Houghton Mifflin Harcourt,Philosophy and psychology
8853,Macbeth,"""William Shakespeare,Alan Durband""",1965,Barrons Educational Series,History and geography
12975,Twelfth Night,"""William Shakespeare,Alan Durband""",2020,Barrons Educational Series,Religion
6823,Romeo & Juliet,"""William Shakespeare,Alan Durband""",2008,Nelson Thornes Ltd,Language
20645,Terry Jones' Medieval Lives,"""Terry Jones,Alan Ereira""",2000,BBC Books,Social sciences
1567,Lysistrata and Other Plays,"""Aristophanes,Alan H. Sommerstein""",1987,Penguin Classics,Philosophy and psychology
7707,Pygmalion & My Fair Lady,"""George Bernard Shaw,Alan Jay Lerner""",2006,Signet,Philosophy and psychology
27533,Banker to the Poor: Micro-Lending and the Battle Against World Poverty,"""Muhammad Yunus,Alan Jolis""",2000,PublicAffairs,Philosophy and psychology
24647,Myths of the Norsemen: Retold from the Old Norse Poems and Tales,"""Roger Lancelyn Green,Alan Langford""",1986,Puffin Books,Science
1424,The Pilgrimage: A Contemporary Quest for Ancient Wisdom,"""Paulo Coelho,Alan R. Clarke""",1991,HarperOne,Technology
1425,The Valkyries,"""Paulo Coelho,Alan R. Clarke""",1962,HarperOne,Philosophy and psychology
1428,By the River Piedra I Sat Down and Wept,"""Paulo Coelho,Alan R. Clarke""",1990,HarperOne,Religion
4006,The Valkyries,"""Paulo Coelho,Alan R. Clarke""",1985,HarperTorch (an imprint of HarperCollins Publishers),Technology
34187,The Brooklyn Bridge (Wonders of the World),"""Elizabeth Mann,Alan Witschonke""",1997,Mikaya Press,Language
24965,Fear and Trembling,"""Søren Kierkegaard,Alastair Hannay""",2004,Penguin Books,History and geography
41473,A Green Desire,"""Anton Myrer,Alastair Westgarth""",1993,Harper Perennial,Arts and recreation
18282,The Basic Problems of Phenomenology (Studies in Phenomenology & Existential Philosophy),"""Martin Heidegger,Albert Hofstadter""",2022,Indiana University Press,Philosophy and psychology
27299,La Emperatriz tras el velo (Trilogía Taj Mahal  #1),"""Indu Sundaresan,Alberto Coscarelli""",1951,Grijalbo Mondadori Sa,Technology
3072,The Tenants,"""Bernard Malamud,Aleksandar Hemon""",1998,Farrar  Straus and Giroux,Language
41684,The Jungle Books,"""Rudyard Kipling,Alev Lytle Croutier""",2002,Signet Classics,Language
37678,The Call of the Wild and Selected Stories: 100th Anniversary Ed.,"""Jack London,Alex Kershaw""",1985,Signet Classics,Language
5084,My Life in France,"""Julia Child,Alex Prud'Homme""",1980,Knopf Publishing Group,Religion
16982,Marvels,"""Kurt Busiek,Alex Ross""",2015,Marvel Comics,Philosophy and psychology
16986,Marvels,"""Kurt Busiek,Alex Ross""",2003,Marvel Comics Group,Philosophy and psychology
32650,The Return of the Native,"""Thomas Hardy,Alexander Theroux""",1959,Modern Library,Philosophy and psychology
25051,Mrs. Piggle-Wiggle (Mrs. Piggle Wiggle  #1),"""Betty MacDonald,Alexandra Boiger""",2012,HarperCollins,Religion
25052,Mrs. Piggle-Wiggle's Magic (Mrs. Piggle Wiggle  #2),"""Betty MacDonald,Alexandra Boiger""",1973,HarperCollins,Language
25053,Hello  Mrs. Piggle-Wiggle (Mrs. Piggle Wiggle  #4),"""Betty MacDonald,Alexandra Boiger""",2003,HarperCollins,Philosophy and psychology
20775,My Lord Eternity (Immortal Rogues  #2),"""Debbie Raleigh,Alexandra Ivy""",2000,Zebra,Language
10562,The Three Musketeers (Great Illustrated Classics),"""Malvina G. Vogel,Alexandre Dumas""",1958,Baronet Books,Social sciences
13616,Death Note  Vol. 4: Love (Death Note  #4),"""Tsugumi Ohba,Alexis Kirsch""",2001,VIZ Media LLC,Language
7606,The Annotated Lolita,"""Vladimir Nabokov,Alfred Appel""",1961,Vintage Books,Science
45310,Hard-Boiled Wonderland and the End of the World,"""Haruki Murakami,Alfred Birnbaum""",2002,Kodansha,Social sciences
11298,A Wild Sheep Chase (The Rat  #3),"""Haruki Murakami,Alfred Birnbaum""",1991,Vintage,Social sciences
15085,The Mystery of the Whispering Mummy (Alfred Hitchcock and The Three Investigators  #3),"""Robert Arthur,Alfred Hitchcock""",1964,Random House Books for Young Readers,Arts and recreation
34200,The Complete I Ching: The Definitive Translation,"""Anonymous,Alfred Huang""",2019,Inner Traditions International,Religion
23637,Tolkien's Modern Middle Ages,"""Jane Chance,Alfred Siewers""",1987,Palgrave Macmillan,Religion
37683,Fahrenheit 451,"""Ray Bradbury,Alfredo Crespo""",1955,Debolsillo,Philosophy and psychology
21091,A Smart Girl's Guide to Money: How to Make It  Save It  And Spend It,"""Nancy Holyoke,Ali Douglass""",1982,American Girl Publishing Inc,Science
12703,Wuthering Heights,"""Emily Brontë,Alice Hoffman""",1978,Signet Classics,Arts and recreation
29845,The Historical Atlas of New York City: A Visual Celebration of Nearly 400 Years of New York City's History,"""Eric Homberger,Alice Hudson""",1982,Holt Paperbacks,Religion
27507,Plan of Attack,"""Bob Woodward,Alice Mayhew""",2002,Simon & Schuster,Social sciences
38069,Zora Neale Hurston: A Literary Biography,"""Robert E. Hemenway,Alice Walker""",2018,University of Illinois Press,Language
14026,The Scarlet Gang of Asakusa,"""Yasunari Kawabata,Alisa Freedman""",1980,University of California Press,History and geography
5509,Anne Frank Remembered: The Story of the Woman Who Helped to Hide the Frank Family,"""Miep Gies,Alison Leslie Gold""",2010,Touchstone Books,Science
30290,The Republic of Plato,"""Plato,Allan Bloom""",1997,Basic Books,Science
8001,Triss (Redwall  #15),"""Brian Jacques,Allan Curless""",1990,Firebird,Science
12157,The Journey That Saved Curious George: The True Wartime Escape of Margret and H.A. Rey,"""Louise Borden,Allan Drummond""",1965,HMH Books for Young Readers,Language
35669,Complete Idiot's Guide to The Beatles,"""Richard Buskin,Allan Kozinn""",2014,Alpha,Religion
1713,The Metamorphoses of Ovid,"""Ovid,Allen Mandelbaum""",1960,Harcourt Brace,Arts and recreation
2315,Below the Root,"""Zilpha Keatley Snyder,Alton Raible""",1976,Atheneum Books,History and geography
17152,My Antonia (Great Plains trilogy #3),"""Willa Cather,Alyssa Harad""",1986,Pocket Books,History and geography
1645,Money to Burn,"""Ricardo Piglia,Amanda Hopkinson""",1965,Granta UK,Religion
10232,Pathologies of Power: Health  Human Rights and the New War on the Poor,"""Paul Farmer,Amartya Sen""",1966,University of California Press,Technology
25457,The Little Baby Snoogle-Fleejer,"""Jimmy Carter,Amy Carter""",1970,Crown,History and geography
28074,Barrel Fever and Other Stories,"""David Sedaris,Amy Sedaris""",1960,Grand Central Publishing,History and geography
44621,Naked,"""David Sedaris,Amy Sedaris""",2022,Grand Central Publishing,Philosophy and psychology
28721,Cormac McCarthy's All the Pretty Horses,"""Harold Bloom,Amy Sickels""",2000,Chelsea House Publications,Social sciences
45455,Artemis Fowl (Artemis Fowl  #1),"""Eoin Colfer,Ana Alcaina""",2006,DEBOLS!LLO,Language
37595,El cubo B (Artemis Fowl  #3),"""Eoin Colfer,Ana Alcaina""",1995,Montena,Technology
45442,La venganza de Opal (Artemis Fowl  #4),"""Eoin Colfer,Ana Alcaina""",1959,Random House Mondadori,History and geography
45463,Encuentro en el Ártico (Artemis Fowl  #2),"""Eoin Colfer,Ana Alcaina Pérez""",1955,Montena,Technology
45615,O Trono de Prata (As Crónicas de Nárnia  #6),"""C.S. Lewis,Ana Falcão Bastos""",1969,Editorial Presença,Philosophy and psychology
29490,Candy,"""Mian Mian,Andrea Lingenfelter""",2001,Back Bay Books,Religion
35481,1635: The Cannon Law (Assiti Shards  #8),"""Eric Flint,Andrew Dennis""",1975,Baen,History and geography
29561,The Truth Will Set You Free: Overcoming Emotional Blindness and Finding Your True Adult Self,"""Alice Miller,Andrew Edwin Jenkins""",2013,Basic Books,Technology
19396,The Picture of Dorian Gray,"""Oscar Wilde,Andrew Elfenbein""",2013,Pearson,Technology
3638,The Wish Giver: Three Tales of Coven Tree,"""Bill Brittain,Andrew Glass""",2014,HarperCollins,Literature
13136,2nd Chance (Women's Murder Club  #2),"""James Patterson,Andrew Gross""",2016,Grand Central Publishing,Social sciences
13155,3rd Degree (Women's Murder Club  #3),"""James Patterson,Andrew Gross""",2013,Grand Central Publishing,History and geography
13157,The Jester,"""James Patterson,Andrew Gross""",1996,Headline,Literature
13130,Judge & Jury,"""James Patterson,Andrew Gross""",1993,Little  Brown and Company,Language
33130,King Richard II,"""William Shakespeare,Andrew Gurr""",2021,Cambridge University Press,Science
33133,King Richard II,"""William Shakespeare,Andrew Gurr""",1957,Cambridge University Press,Science
5787,The Aleph and Other Stories,"""Jorge Luis Borges,Andrew Hurley""",2016,Penguin Classics,Arts and recreation
44045,A Universal History of Iniquity,"""Jorge Luis Borges,Andrew Hurley""",2015,Penguin Classics,Religion
17961,Collected Fictions,"""Jorge Luis Borges,Andrew Hurley""",1978,Penguin Classics Deluxe Edition,Philosophy and psychology
32780,The Iliad,"""Homer,Andrew Lang""",1962,Collector's Library,Science
18840,The Common Reader,"""Virginia Woolf,Andrew McNeillie""",1974,Mariner Books,Philosophy and psychology
37119,Undertaker of the Mind: John Monro and Mad-Doctoring in Eighteenth-Century England,"""Jonathan Andrews,Andrew Scull""",1956,University of California Press,Philosophy and psychology
37467,Classroom Interactions as Cross-Cultural Encounters: Native Speakers in EFL Lessons,"""Jasmine C.M. Luk,Angel M.Y. Lin""",1975,Routledge,Technology
14117,Beauty and the Beast,"""Max Eilenberg,Angela Barrett""",2011,Candlewick Press,Science
31171,The Life of Charlotte Brontë,"""Elizabeth Gaskell,Angus Easson""",1952,Oxford University Press,Arts and recreation
30743,To America with Love: Letters from the Underground,"""Abbie Hoffman,Anita Hoffman""",2000,Red Hen Pr,Social sciences
9526,Embroideries,"""Marjane Satrapi,Anjali Singh""",2001,Pantheon,Literature
9517,Persepolis 2: The Story of a Return (Persepolis  #2),"""Marjane Satrapi,Anjali Singh""",1997,Pantheon Books,Religion
23492,The Dharma Bums,"""Jack Kerouac,Ann Douglas""",1993,Penguin Classics,Language
23929,Selected Letters  1940-1956,"""Jack Kerouac,Ann Charters""",1982,Penguin (Non-Classics),Literature
2552,On the Road,"""Jack Kerouac,Ann Charters""",1963,Penguin Books,Literature
45536,On the Road,"""Jack Kerouac,Ann Charters""",2009,Penguin Classics,Technology
17349,The Demon-Haunted World: Science as a Candle in the Dark,"""Carl Sagan,Ann Druyan""",2015,Ballantine Books,Technology
42157,P.S. Longer Letter Later (Elizabeth and Tara*Starr  #1),"""Paula Danziger,Ann M. Martin""",1998,Scholastic Paperbacks,Science
38424,Kristy's Great Idea,"""Raina Telgemeier,Ann M. Martin""",1989,Turtleback Books,Social sciences
36190,Whirlpool,"""Elizabeth Lowell,Ann Maxwell""",2012,Avon,Philosophy and psychology
20781,Aesop's Fables,"""Aesop,Ann McGovern""",1968,Scholastic Paperbacks,Language
22460,Red Herrings and White Elephants: The Origins of the Phrases We Use Every Day,"""Albert Jack,Ann Page""",1985,Harper,Arts and recreation
36606,Oliver and Albert  Friends Forever (Easy-to-Read  Puffin),"""Jean Van Leeuwen,Ann Schweninger""",2002,Puffin,Literature
32527,Alone (Detective D.D. Warren  #1),"""Lisa Gardner,Anna Fields""",1982,Bantam,Religion
17295,Birthday Machine (Disney's Little Einsteins Early Reader),"""Susan Ring,Anna Okabe""",2020,Disney Press,Religion
25884,The Road to Jerusalem (The Knight Templar  #1),"""Jan Guillou,Anna Paterson""",1977,Orion,Language
38723,The Feminine Mystique,"""Betty Friedan,Anna Quindlen""",1981,W. W. Norton  Company,Philosophy and psychology
2557,De Kooning: An American Master,"""Mark Stevens,Annalyn Swan""",2009,Knopf Publishing Group,Arts and recreation
25407,That Same Flower: Floria Aemilia's Letter to St. Augustine,"""Jostein Gaarder,Anne Born""",1991,Farrar Straus and Giroux,History and geography
11168,Day (The Night Trilogy  #3),"""Elie Wiesel,Anne Borchardt""",1989,Hill and Wang,Literature
23859,Soldiers of Salamis,"""Javier Cercas,Anne McLean""",1951,Bloomsbury USA,Language
43796,The Vampire Companion,"""Katherine Ramsland,Anne Rice""",1994,Ballantine Books,Literature
18750,Beauty's Punishment (Sleeping Beauty  #2),"""A.N. Roquelaure,Anne Rice""",2003,Penguin Books,Technology
25190,Beauty's Release (Sleeping Beauty  #3),"""A.N. Roquelaure,Anne Rice""",2009,Penguin Books,Religion
26581,Sleeping Beauty Trilogy (Sleeping Beauty  #1-3),"""A.N. Roquelaure,Anne Rice""",1952,Plume,Religion
26583,Beauty's Punishment,"""A.N. Roquelaure,Anne Rice""",2006,Plume,Language
43799,Exit to Eden,"""Anne Rampling,Anne Rice""",2022,Severn House Publishers,Religion
7684,Twister,"""Michael Crichton,Anne-Marie Martin""",1972,Ballantine Books,Philosophy and psychology
30043,A River Runs Through it and Other Stories,"""Norman Maclean,Annie Proulx""",1955,University of Chicago Press,Religion
15521,I Maccabees,"""Jonathan A. Goldstein,Anonymous""",1950,Anchor Bible,Literature
28194,Inkheart (Inkworld  #1),"""Cornelia Funke,Anthea Bell""",1993,Scholastic Paperbacks,History and geography
28195,Inkspell (Inkworld  #2),"""Cornelia Funke,Anthea Bell""",2020,The Chicken House,Religion
33507,Twenty Thousand Leagues Under the Sea (Extraordinary Voyages  #6),"""Jules Verne,Anthony Bonner""",2020,Barnes & Noble,Arts and recreation
15640,Cyrano de Bergerac,"""Edmond Rostand,Anthony Burgess""",2014,Nick Hern Books,Language
9660,How to Save Your Own Life: An Isadora Wing Novel,"""Erica Jong,Anthony Burgess""",1963,Tarcherperigee,Science
12950,The Turn of the Screw and The Aspern Papers,"""Henry James,Anthony Curtis""",1960,Penguin Books,Science
13570,Tsubasa: RESERVoir CHRoNiCLE  Vol. 1,"""CLAMP,Anthony Gerard""",2002,Del Rey,Literature
34385,Inferno,"""Dante Alighieri,Anthony M. Esolen""",1953,Modern Library,Religion
25693,Agricola/Germany,"""Tacitus,Anthony Richard Birley""",2015,Oxford University Press,Language
34658,Shattered Sword: The Untold Story of the Battle of Midway,"""Jonathan Parshall,Anthony Tully""",1997,Potomac Books,Science
25708,Saint Thomas Aquinas,"""G.K. Chesterton,Anton C. Pegis""",1950,Image,Science
534,We Were Not Like Other People,"""Ephraim Sevela,Antonina W. Bouis""",1993,HarperCollins Publishers,Literature
43959,Margherita Dolce Vita,"""Stefano Benni,Antony Shugaar""",1997,Europa Editions,Arts and recreation
27420,Theogony/Works and Days/Shield,"""Hesiod,Apostolos N. Athanassakis""",2011,Johns Hopkins University Press,Philosophy and psychology
19903,Qué Se Puede Esperar Cuando Se Está Esperando,"""Heidi Murkoff,Arlene Eisenberg""",2003,Workman Publishing Company,History and geography
37390,The Pat Hobby Stories,"""F. Scott Fitzgerald,Arnold Gingrich""",1992,Scribner,History and geography
15624,Later Works: Black Boy (American Hunger) / The Outsider,"""Richard Wright,Arnold Rampersad""",1984,Library of America,Technology
36062,Crime Wave: Reportage and Fiction from the Underside of L.A.,"""James Ellroy,Art Cooper""",2022,Vintage Crime/Black Lizard,Social sciences
23832,The Insomnia Answer: A Personalized Program for Identifying and Overcoming the Three Types of Insomnia,"""Paul Glovinsky,Art Spielman""",1957,TarcherPerigee,Arts and recreation
42652,Red Road From Stalingrad: Recollections of a Soviet Infantryman,"""Mansur Abdulin,Artem Drabkin""",2010,Pen & Sword Military,Language
42662,Paris: After the Liberation 1944-1949,"""Antony Beevor,Artemis Cooper""",1966,Penguin Books,Arts and recreation
12222,A Streetcar Named Desire,"""Tennessee Williams,Arthur Miller""",2016,New Directions,Philosophy and psychology
8909,The War of the Worlds,"""H.G. Wells,Arthur C. Clarke""",2018,Modern Library,Science
8927,Sherlock Holmes and the Case of the Hound of the Baskervilles (Great Illustrated Classics),"""Malvina G. Vogel,Arthur Conan Doyle""",1973,Abdo Publishing Company,Social sciences
6218,The Axe (The Master of Hestviken  #1),"""Sigrid Undset,Arthur G. Chater""",1966,Vintage,Religion
6227,The Snake Pit (The Master of Hestviken  #2),"""Sigrid Undset,Arthur G. Chater""",2011,Vintage,Philosophy and psychology
41689,The Key to Rebecca,"""Ken Follett,Arto Häilä""",1988,NAL,Philosophy and psychology
15877,Ultimate Unofficial Guide to the Mysteries of Harry Potter: Analysis of Books 1-4,"""Galadriel Waters,Astre Mithrandir""",1956,Wizarding World Press,History and geography
44866,Poetry and Prose of Alexander Pope (Riverside Editions),"""Alexander Pope,Aubrey Williams""",2011,Houghton Mifflin Company,History and geography
24749,American Writers  Supplement VIII,"""Jay Parini,August Wilson""",1971,Gale Cengage,Language
27092,Desde mi cielo,"""Alice Sebold,Aurora Echevarría""",1981,Debolsillo,Social sciences
42055,Reduced Shakespeare: The Attention-impaired Readers Guide to the World's Best Playwright,"""Reed Martin,Austin Tichenor""",1988,Hachette Books,Philosophy and psychology
2937,Robinson Crusoe,"""Daniel Defoe,Avi""",2003,Aladdin,Technology
1852,The Call of the Wild,"""Jack London,Avi""",1950,Scholastic,History and geography
30517,Colonialism and Neocolonialism,"""Jean-Paul Sartre,Azzedine Haddour""",2001,Routledge Classics,Philosophy and psychology
12424,Safe Conduct: An Autobiography and Other Writings,"""Boris Pasternak,B. Deutsch""",1971,New Directions,Literature
2022,The Frogs,"""Aristophanes,B.B. Rogers""",1981,Digireads.com,Language
37186,The Miraculous Journey of Edward Tulane,"""Kate DiCamillo,Bagram Ibatoulline""",1990,Candlewick Press,Language
7331,Letters from Father Christmas,"""J.R.R. Tolkien,Baillie Tolkien""",1997,Mariner Books,Science
29967,Floor Games (Sandplay Classics),"""H.G. Wells,Barbara A. Turner""",2021,Temenos Press,Literature
20420,Practicalities,"""Marguerite Duras,Barbara Bray""",2016,Grove Press,Arts and recreation
20423,India Song,"""Marguerite Duras,Barbara Bray""",2007,Grove Press,Social sciences
278,The War,"""Marguerite Duras,Barbara Bray""",2011,The New Press,Arts and recreation
8134,Anne of Green Gables,"""L.M. Montgomery,Barbara Caruso""",1955,Recorded Books  Inc.,Language
7914,Five Little Peppers at School,"""Margaret Sidney,Barbara Cooney""",1994,Yearling,Literature
36317,The Transition of H. P. Lovecraft: The Road to Madness,"""H.P. Lovecraft,Barbara Hambly""",1961,Del Rey,Social sciences
38153,Orlando Furioso: Part Two,"""Ludovico Ariosto,Barbara Reynolds""",2005,Penguin Classics,Literature
10559,The Three Musketeers,"""Alexandre Dumas,Barbara T. Cooper""",1954,Barnes  Noble Classics,Literature
1391,Aeneid: Selections from Books 1  2  4  6  10  12,"""Virgil,Barbara Weiden Boyd""",1954,Bolchazy-Carducci Publishers,Philosophy and psychology
28375,The Flight of Icarus,"""Raymond Queneau,Barbara Wright""",1954,New Directions,Philosophy and psychology
28371,Witch Grass,"""Raymond Queneau,Barbara Wright""",1976,NYRB Classics,Language
24268,A World Lit Only by Fire,"""William Manchester,Barrett Whitener""",1965,Blackstone Audiobooks,History and geography
45549,Undaunted Courage,"""Stephen E. Ambrose,Barrett Whitener""",1972,Books on Tape,Religion
6298,Howl: Original Draft Facsimile  Transcript & Variant Versions  Fully Annotated by Author  with Contemporaneous Correspondence,"""Allen Ginsberg,Barry Miles""",1994,Harper Perennial Modern Classics,Arts and recreation
38300,A River Runs Through It,"""Norman Maclean,Barry Moser""",1994,University of Chicago Press,Religion
12618,On Anarchism,"""Noam Chomsky,Barry Pateman""",1987,AK Press,Technology
1246,The Leadership Challenge,"""James M. Kouzes,Barry Z. Posner""",1995,Jossey-Bass,History and geography
3493,On Truth,"""Harry G. Frankfurt,Baruch Spinoza""",2016,Knopf,Science
28860,El Evangelio Según Jesucristo,"""José Saramago,Basilio Losada""",1974,Santillana USA Publishing Company,Science
21928,Time To Hunt (Bob Lee Swagger  #3),"""Stephen Hunter,Beau Bridges""",1978,Random House Audio,Literature
21930,Black Light (Bob Lee Swagger  #2),"""Stephen Hunter,Beau Bridges""",2004,Random House Audio Publishing Group,History and geography
21933,Point Of Impact (Bob Lee Swagger  #1),"""Stephen Hunter,Beau Bridges""",1966,RH Audio,Philosophy and psychology
43044,The Sea-Wolf and Selected Stories,"""Jack London,Ben Bova""",1961,Signet Classics,Language
43722,Fell,"""Warren Ellis,Ben Templesmith""",1994,Image Comics,History and geography
21107,The Halloween Activity Book: Creepy  Crawly  Hairy  Scary Things to Do,"""Mymi Doinet,Benjamin Chaud""",1972,Chronicle Books,Religion
3088,A Room with a View / Howards End,"""E.M. Forster,Benjamin DeMott""",1968,Signet,Science
32552,Essential Tales and Poems,"""Edgar Allan Poe,Benjamin F. Fisher""",2011,Barnes  Noble Classics,Arts and recreation
3167,Phaedrus/Apology/Crito/Symposium,"""Plato,Benjamin Jowett""",1984,Digireads.com,Philosophy and psychology
3231,Gorgias/Timaeus,"""Plato,Benjamin Jowett""",2017,Dover Publications,Philosophy and psychology
1334,Lysis/Phaedrus/Symposium: Plato on Homosexuality,"""Plato,Benjamin Jowett""",1977,Prometheus Books,Social sciences
26237,Revolutionary Girl Utena  Vol. 3: To Sprout,"""Chiho Saito,Be-Pas""",1999,VIZ Media LLC,Language
10802,Beyond the Hundredth Meridian: John Wesley Powell and the Second Opening of the West,"""Wallace Stegner,Bernard DeVoto""",2003,Penguin Books,Social sciences
13320,Mark Rothko,"""Diane Waldman,Bernard Malamud""",2018,Harry N. Abrams,Philosophy and psychology
4978,Wolves of the Calla (The Dark Tower  #5),"""Stephen King,Bernie Wrightson""",1976,Pocket Books,Language
32680,Silver Bullet,"""Stephen King,Bernie Wrightson""",2000,Signet,Literature
31472,Middlemarch: An Authoritative Text  Backgrounds  Reviews and Criticism,"""George Eliot,Bert G. Hornback""",1969,W. W. Norton & Company,Literature
41460,Voting Rights Days (Hitty's Travels  #3),"""Ellen Weiss,Betina Ogden""",1966,Aladdin Paperbacks,History and geography
4602,Dooby Dooby Moo,"""Doreen Cronin,Betsy Lewin""",1972,Atheneum Books for Young Readers,Technology
4601,Click  Clack  Moo: Cows That Type,"""Doreen Cronin,Betsy Lewin""",1975,Pocket Books,Arts and recreation
15887,La historia de la familia Roccamatio de Helsinki,"""Yann Martel,Bianca Southwood""",1982,Destino Ediciones,History and geography
24315,Violet Makes A Splash (Sister Magic),"""Anne Mazer,Bill Brown""",2011,Scholastic Paperbacks,History and geography
24316,The Trouble With Violet,"""Anne Mazer,Bill Brown""",1991,Scholastic Paperbacks,Science
650,LOGO Lounge: 2 000 International Identities by Leading Designers,"""Catharine M. Fishel,Bill Gardner""",2001,Rockport Publishers,Religion
15587,Bacacay,"""Witold Gombrowicz,Bill Johnston""",2013,Archipelago Books,History and geography
35519,The Power of Myth,"""Joseph Campbell,Bill Moyers""",1984,Anchor,Social sciences
43623,Gunslinger and Nine Other Action-Packed Stories of the Wild West,"""Ed Gorman,Bill Pronzini""",1961,Barricade Books,Arts and recreation
