5413,'Salem's Lot,Stephen King, Jerry N. Uelsmann,1970,Doubleday
13912,A Beautiful Mind,Sylvia Nasar ,1970,Faber  Faber,Social sciences
5845,A Bend in the River,V.S. Naipaul ,1982,Picador USA,Science
3463,A Bend in the Road,Nicholas Sparks ,1987,Grand Central Publishing,Social sciences
24904,A Birthday for Frances,Russell Hoban, Lillian Hoban,1964,Harper Collins
38562,A Bite to Remember (Argeneau #5),Lynsay Sands ,1953,Avon,Language
11880,A Book of Blue Flowers,Robert L. Geneve ,1988,Timber Press (OR),Social sciences
422,A Book of Common Prayer,Joan Didion ,1997,Vintage International,Language
28231,A Box of Matches,Nicholson Baker ,1961,Vintage,History and geography
18551,A Break With Charity: A Story of the Salem Witch Trials,Ann Rinaldi ,2012,Turtleback Books,Philosophy and psychology
18549,A Break with Charity: A Story about the Salem Witch Trials,Ann Rinaldi ,2013,HMH Books for Young Readers,Religion
10965,A Breath of Snow and Ashes (Outlander  #6),Diana Gabaldon ,2014,Delta,Arts and recreation
3869,A Brief History of Time,Stephen Hawking ,1960,Bantam Books,Arts and recreation
2094,A Briefer History of Time,Stephen Hawking, Leonard Mlodinow,1964,Bantam
12419,A Calendar of Wisdom: Daily Thoughts to Nourish the Soul,Leo Tolstoy, Peter Sekirin,2021,Scribner
30240,A Caress of Twilight (Merry Gentry  #2),Laurell K. Hamilton ,1956,Ballantine Books,Social sciences
44321,A Cargo of Women: Susannah Watson and the Convicts of the Princess Royal,Babette Smith ,2016,Rosenberg Publishing,Religion
16313,A Caribbean Mystery,Agatha Christie, Rosalind Ayres,1992,Audiogo
31300,A Caribbean Mystery (Miss Marple  #10),Agatha Christie ,1992,Signet,Arts and recreation
13076,A Carl Hiaasen Collection: Stormy Weather  Tourist Season  and  Strip Tease,Carl Hiaasen, Edward Asner,2010,Random House Audio
7663,A Case of Need,Jeffery Hudson, Michael Crichton,1977,Signet
34468,A Cat  a Man  and Two Women,Jun'ichir  Tanizaki, Paul McCarthy,2016,Kodansha
24249,A Cavern of Black Ice (Sword of Shadows  #1),J.V. Jones ,1955,Tor Fantasy,Literature
29205,A Certain Justice (Abe Glitsky  #1),John Lescroart ,1998,Signet,Language
29204,A Certain Justice (Adam Dalgliesh  #10),P.D. James ,2006,Seal Books,Social sciences
20413,A Child's Garden of Verses,Robert Louis Stevenson, Tasha Tudor,1978,Simon & Schuster Books for Young Readers
3346,A Chosen Few: The Resurrection of European Jewry (Reader's Circle),Mark Kurlansky ,1953,Ballantine Books,Language
5327,A Christmas Carol,Charles Dickens, P.J. Lynch,2003,Candlewick Press
5328,A Christmas Carol,Charles Dickens ,2002,Penguin Books,Social sciences
41463,A Christmas Carol (Great Illustrated Classics),Malvina G. Vogel, Charles Dickens,1968,Abdo Publishing Company
5338,A Christmas Carol and Other Christmas Writings,Charles Dickens, Michael Slater,2003,Penguin Classics
9919,A Christmas Memory,Truman Capote ,1981,Knopf Books for Young Readers,Science
5319,A Christmas Story,Jean Shepherd ,1957,Broadway Books,Science
2819,A Circle of Quiet (Crosswicks Journals #1),Madeleine L'Engle ,1981,HarperOne,Philosophy and psychology
27397,A Civil Action,Jonathan Harr ,1957,Vintage,Arts and recreation
10572,A Clash of Kings  (A Song of Ice and Fire  #2),George R.R. Martin ,1991,Bantam,Literature
13504,A Clash of Kings (A Song of Ice and Fire  #2),George R.R. Martin, Roy Dotrice,1971,Random House Audio
8810,A Clockwork Orange,Anthony Burgess, Blake Morrison,1956,Penguin Classics
8811,A Clockwork Orange,Anthony Burgess ,1955,Penguin Books,Philosophy and psychology
8814,A Clockwork Orange (Stage Play),Anthony Burgess ,2014,Methuen Drama,Language
20235,A Cold Treachery (Inspector Ian Rutledge  #7),Charles Todd ,2000,Bantam,History and geography
34050,A Collection of Rudyard Kipling's Just So Stories,Rudyard Kipling, Christopher Corr,2001,Candlewick
26996,A Companion to Plato's Republic,Nicholas P. White ,1974,Hackett Publishing Company  Inc.,Arts and recreation
13374,A Complicated Kindness,Miriam Toews ,1952,Counterpoint LLC,Technology
13375,A Complicated Kindness (Bookclub-In-A-Box),Marilyn Herbert, Miriam Toews,1994,Bookclub-In-A-Box
24923,A Confederacy of Dunces,John Kennedy Toole, Walker Percy,2017,Penguin Classics
24922,A Confederacy of Dunces,John Kennedy Toole ,2011,Penguin Books  Limited (UK),Technology
12570,A Confederate General from Big Sur / Dreaming of Babylon / The Hawkline Monster,Richard Brautigan ,2008,Mariner Books,Language
3047,A Conflict of Visions: Ideological Origins of Political Struggles,Thomas Sowell ,1969,Basic Books,Arts and recreation
37349,A Couple of April Fools (The Hamlet Chronicles #6),Gregory Maguire, Elaine Clayton,2001,HarperCollins
25013,A Crack in the Edge of the World,Simon Winchester ,1979,Harper Perennial,Language
13890,A Crown of Swords (The Wheel of Time  #7),Robert Jordan ,1999,Tor Books,Religion
18057,A Damsel in Distress,P.G. Wodehouse ,1969,rbooks,Philosophy and psychology
31476,A Dance At The Slaughterhouse (Matthew Scudder  #9),Lawrence Block ,1978,Harper Paperbacks,History and geography
16113,A Dance to the Music of Time: 1st Movement (A Dance to the Music of Time  #1-3),Anthony Powell ,1992,University of Chicago Press,Literature
16115,A Dance to the Music of Time: 2nd Movement (A Dance to the Music of Time  #4-6),Anthony Powell ,1977,University of Chicago Press,Science
16114,A Dance to the Music of Time: 3rd Movement (A Dance to the Music of Time  #7-9),Anthony Powell ,1973,University of Chicago Press,History and geography
16111,A Dance to the Music of Time: 4th Movement (A Dance to the Music of Time  #10-12),Anthony Powell ,2012,University of Chicago Press,Philosophy and psychology
5051,A Dangerous Fortune,Ken Follett ,2014,MacMillan General Books,Arts and recreation
21276,A Dangerous Man (Hank Thompson  #3),Charlie Huston ,1988,Ballantine Books,Language
35602,A Day in the Life: The Music and Artistry of the Beatles,Mark Hertsgaard ,2001,Delta,Technology
17011,A Devilish Dilemma,Judith A. Lansdowne ,1970,Zebra,History and geography
37564,A Different Mirror: A History of Multicultural America,Ronald Takaki ,2015,Back Bay Books,Arts and recreation
33456,A Dirty Job (Grim Reaper  #1),Christopher Moore ,1989,William Morrow,Religion
37572,A Distant Mirror: The Calamitous 14th Century,Barbara W. Tuchman ,2003,Ballantine Books,History and geography
6660,A Divine Revelation of Hell,Mary K. Baxter, T.L. Lowery,2016,Whitaker House
11406,A Door of Hope,Jan Frank ,1991,Here's Life Publishers,Arts and recreation
42763,A Dracula Handbook,Elizabeth Russell Miller ,2016,Xlibris Corporation,History and geography
21685,A Drink Before the War (Kenzie & Gennaro  #1),Dennis Lehane ,2008,Mariner Books,Religion
16074,A Dubious Codicil,Michael Wharton ,1983,Random House UK Distribution,History and geography
21721,A Faint Cold Fear (Grant County  #3),Karin Slaughter ,2016,Harper,History and geography
11234,A Fairly Honourable Defeat,Iris Murdoch, Peter Reed,2007,Penguin Classics
23818,A Faith Like Mine,Laura Buller, D.K. Publishing,1980,DK Children
20233,A False Mirror (Inspector Ian Rutledge  #9),Charles Todd ,1964,William Morrow,Science
41518,A Fan's Notes,Frederick Exley, Jonathan Yardley,2000,Modern Library
10796,A Farewell to Arms,Ernest Hemingway, John Slattery,1969,Simon  Schuster Audio
10797,A Farewell to Arms,Ernest Hemingway ,1979,MacMillan Publishing Company,History and geography
20238,A Fearsome Doubt (Inspector Ian Rutledge  #6),Charles Todd ,2000,Bantam,Literature
33365,A Feather on the Breath of God,Sigrid Nunez ,2016,Picador,Technology
40386,A Fighting Man of Mars (Barsoom  #7),Edgar Rice Burroughs ,1977,Del Rey,Social sciences
5211,A Fine Balance,Rohinton Mistry ,1994,Vintage,Science
17360,A First Course in String Theory,Barton Zwiebach ,2012,Cambridge University Press,Literature
30260,A Fistful of Charms (The Hollows  #4),Kim Harrison ,2010,HarperTorch,Technology
4519,A Framework for Understanding Poverty,Ruby K. Payne ,2020,AHA! Process,Philosophy and psychology
20891,A Friar's Bloodfeud (Knights Templar  #20),Michael Jecks ,2021,Headline,Religion
7811,A Friend of the Earth,T. Coraghessan Boyle ,1955,Bloomsbury Paperbacks,Literature
28440,A Frolic of His Own,William Gaddis ,1986,Scribner,Language
2817,A Full House: An Austin Family Christmas (Austin Family  #5.6),Madeleine L'Engle, Mary Chambers,2014,Shaw
43681,A Garden Of Vipers (Carson Ryder  #3),Jack Kerley ,1973,Onyx,Literature
15981,A Garden of Earthly Delights (Wonderland Quartet  #1),Joyce Carol Oates, Elaine Showalter,1990,Modern Library
15295,A Gateway to Sindarin: A Grammar of an Elvish Language from J.R.R. Tolkien's Lord of the Rings,David Salo ,2022,University of Utah Press,History and geography
29953,A Gift Of Wings,Richard Bach ,1971,Sidgwick & Jackson Ltd,Literature
42693,A God in Ruins,Leon Uris ,1982,Avon,Language
5816,A Gravity's Rainbow Companion: Sources and Contexts for Pynchon's Novel,Steven Weisenburger ,1996,University of Georgia Press,Language
3682,A Great and Terrible Beauty (Gemma Doyle #1),Libba Bray ,1971,Simon and Schuster,Literature
41473,A Green Desire,Anton Myrer, Alastair Westgarth,1993,Harper Perennial
9464,A Guided Tour of 5 Works by Plato: Euthyphro/Apology/Crito/Phaedo/Cave,Christopher Biffle, Plato,1992,Mayfield Publishing Company (NY)
35666,A Hard Day's Write: The Stories Behind Every Beatles Song,Steve Turner ,1951,HarperResource,Religion
35552,A Hard Day's Write: The Stories Behind Every Beatles Song,Steve Turner ,1999,It Books,Social sciences
34501,A Hat Full of Sky (Discworld  #32; Tiffany Aching  #2),Terry Pratchett ,1966,Corgi Childrens,Philosophy and psychology
4953,A Heartbreaking Work of Staggering Genius,Dave Eggers ,1988,Vintage,Social sciences
20179,A Higher Justice (The Trials of Kit Shannon #5),James Scott Bell ,1981,Bethany House Publishers,Technology
10687,A History of Britain: The Fate Of Empire 1776-2000 (A History of Britain  #3),Simon Schama ,1992,Miramax Books,Religion
27303,A History of God: The 4 000-Year Quest of Judaism  Christianity  and Islam,Karen Armstrong ,1965,Ballantine Books,Religion
3873,A History of God: The 4 000-Year Quest of Judaism  Christianity  and Islam,Karen Armstrong ,1980,Gramercy Books,Philosophy and psychology
40626,A History of Modern Europe  Volume 2: From the French Revolution to the Present,John M. Merriman ,1980,W. W. Norton & Company,Literature
31823,A History of Philosophy 1: Greece and Rome,Frederick Charles Copleston ,1985,Bloomsbury Academic,Social sciences
6109,A History of Venice,John Julius Norwich ,1990,Vintage,Literature
40951,A History of the Life Sciences,Lois N. Magner, Magner,1959,CRC Press
43980,A History of the World in 10½  Chapters,Julian Barnes ,1999,Vintage,Philosophy and psychology
3872,A History of the World in 6 Glasses,Tom Standage ,1983,Bloomsbury,Philosophy and psychology
16892,A Hole in the World: An American Boyhood,Richard Rhodes ,2022,University Press of Kansas,Technology
2137,A Home at the End of the World,Michael Cunningham ,2012,Picador,Religion
14644,A House Divided (House of Earth  #3),Pearl S. Buck ,1997,Moyer Bell and its subsidiaries,Technology
2811,A House Like a Lotus (O'Keefe Family  #3),Madeleine L'Engle ,2021,Dell,Language
12050,A Hundred Camels in the Courtyard,Paul Bowles ,2013,City Lights Publishers,Technology
14384,A Hunger Like No Other (Immortals After Dark  #1),Kresley Cole ,1998,Pocket Star,Arts and recreation
44439,A Is for Abductive : The Language of the Emerging Church,Leonard Sweet, Brian D. McLaren,2001,Zondervan
8581,A Jockey's Life: The Biography of Lester Piggott,Dick Francis ,2013,Fawcett,Science
987,A Killing Rain (Louis Kincaid  #6),P.J. Parrish ,2009,Pinnacle,Language
22070,A Killing in Comics (Jack & Maggie Starr  #1),Max Allan Collins, Terry Beatty,2008,Berkley Trade
12770,A Kiss Before Dying,Ira Levin, Otto Penzler,1971,Carroll & Graf Publishers
12771,A Kiss Before Dying (Sweet Valley High  #122),Francine Pascal, Kate William,2008,Bantam
30373,A Kiss Remembered,Erin St. Claire, Sandra Brown,2010,Grand Central Publishing
35368,A Kiss to Remember (Once Upon a Time  #3),Teresa Medeiros ,2019,Bantam,Language
13365,A Lady At Last (deWarenne Dynasty  #7),Brenda Joyce ,2021,Hqn,Literature
5197,A Lesson Before Dying,Ernest J. Gaines ,1993,Vintage,Science
30118,A Light in the Attic,Shel Silverstein ,1999,Harpercollins Childrens Books,Arts and recreation
30129,A Light in the Attic (Book & CD),Shel Silverstein ,1955,HarperCollins,Language
24939,A Little Bit Wicked (Last Man Standing  #1),Victoria Alexander ,2000,Avon,Religion
8200,A Little House Traveler: Writings from Laura Ingalls Wilder's Journeys Across America,Laura Ingalls Wilder ,2009,HarperCollins,Literature
13173,A Little Prairie House,Laura Ingalls Wilder, Renée Graef,1961,HarperCollins
3008,A Little Princess,Frances Hodgson Burnett, Nancy Bond,1956,Penguin Books
24787,A Lloyd Alexander Collection,Lloyd Alexander ,1972,Dutton Children's Books,Social sciences
205,A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd ,2009,William Morrow,History and geography
43378,A Long Short War: The Postponed Liberation of Iraq,Christopher Hitchens ,1950,Plume,Language
10073,A Long Way Down,Nick Hornby ,1954,Riverhead Books,Arts and recreation
43015,A Long Way Gone: Memoirs of a Boy Soldier,Ishmael Beah ,2007,Sarah Crichton Books,Philosophy and psychology
39963,A Long Way from Chicago (A Long Way from Chicago  #1),Richard Peck ,1994,Puffin Books,Science
39969,A Long Way from Chicago (Saddleback's Focus on Reading Study Guides),Lisa S. French ,1999,Saddleback Educational Publishing  Inc.,Philosophy and psychology
32286,A Mad People's History of Madness,Dale Peterson ,1995,University of Pittsburgh Press,Philosophy and psychology
16670,A Madman Dreams of Turing Machines,Janna Levin ,2001,Alfred A. Knopf,Arts and recreation
38707,A Magic Crystal? (Marvin Redpost),Louis Sachar ,1952,Bloomsbury Publishing PLC,Social sciences
22867,A Man Rides Through (Mordant's Need  #2),Stephen R. Donaldson ,1993,Del Rey,Science
4979,A Man Without a Country,Kurt Vonnegut Jr., Daniel Simon,1963,Random House Trade Paperbacks
37772,A Man of the People,Chinua Achebe ,1968,Penguin Books,Religion
14194,A Man's Protection,Jayne Castle, Jayne Ann Krentz,1952,Dell Publishing Company
24617,A Manual for Living,Epictetus, Sharon Lebell,2006,HarperOne
34833,A Matter Of Trust,Deb Stover ,1985,Kensington,Arts and recreation
34835,A Matter of Trust,Penny Jordan ,2007,Harlequin Presents,Science
34816,A Matter of Trust (Justice  #0),Radclyffe ,1965,Bold Strokes Books,Social sciences
34819,A Matter of Trust: The Case of the Mesmerizing Boss / The Case of the Confirmed Bachelor,Diana Palmer ,1974,Harlequin Books,Technology
33158,A Midsummer Night's Dream,William Shakespeare, R.A. Foakes,1962,Cambridge University Press
7015,A Midsummer Night's Dream,William Shakespeare, Roma Gill,1953,Oxford University Press  USA
7009,A Midsummer Night's Dream,William Shakespeare ,2012,Signet Book,Arts and recreation
33157,A Midsummer Night's Dream (SparkNotes Literature Guide),SparkNotes, William Shakespeare,1970,SparkNotes
15599,A Midwife's Story,Sheryl Feldman, Penny Armstrong,1959,Pinter & Martin Ltd
15594,A Midwife's Tale: The Life of Martha Ballard  Based on Her Diary  1785-1812,Laurel Thatcher Ulrich ,2009,Vintage Books,Philosophy and psychology
1243,A Million Little Lies,James Pinocchio, Pablo Fenjves,1988,William Morrow Paperbacks
1241,A Million Little Pieces,James Frey ,1963,Anchor Books,Religion
1242,A Million Little Pieces of Feces,Python Bonkers ,1965,Lulu.com,Social sciences
3829,A Mind To Murder (Adam Dalgliesh  #2),P.D. James ,1954,Gardners Books,History and geography
2677,A Modest Proposal and Other Satirical Works,Jonathan Swift ,2019,Dover Publications,Religion
27932,A Mortal Bane (Magdalene La Batarde  #1),Roberta Gellis ,2009,Tor Books,Science
4631,A Moveable Feast,Ernest Hemingway ,1950,Vintage,Science
27991,A Mulligan for Bobby Jobe: A Novel,Bob Cullen ,2020,Harper Perennial,Language
26934,A Multitude of Sins,Richard Ford ,1991,Vintage,Literature
16298,A Murder Is Announced (Miss Marple  #5),Agatha Christie ,2020,Black Dog & Leventhal Publishers,Technology
20429,A Near Thing for Captain Najork (Captain Najork #2),Russell Hoban, Quentin Blake,2017,David R. Godine
7664,A New Collection of Three Complete Novels: Congo / Sphere / Eaters of the Dead,Michael Crichton ,2020,Wings Books,Social sciences
4752,A New Hope: The Illustrated Screenplay (Star Wars  Episode IV),George Lucas ,1974,Del Rey,Arts and recreation
39363,A New Leash on Death (A Dog Lover's Mystery  #1),Susan Conant ,1961,Berkley Prime Crime,Social sciences
39822,A Nose for Murder (Jack and Jamie #1),Lee Charles Kelley ,1957,Avon Books,Social sciences
45149,A Painted House,John Grisham ,1953,Arrow Books,History and geography
5360,A Painted House,John Grisham ,2006,Bantam,Language
28920,A Pale View of Hills,Kazuo Ishiguro ,2002,Faber and Faber,Language
24804,A Parchment of Leaves,Silas House ,1952,Ballantine Books,Literature
45201,A Passage to India,E.M. Forster ,2003,Penguin Books,Arts and recreation
45194,A Passage to India: A Reader's Guide to Essential Criticism,Betty Jay ,1956,Palgrave Macmillan,History and geography
40020,A Patchwork Planet,Anne Tyler ,1983,Ballantine Books,Science
2767,A People's History of the United States,Howard Zinn ,1978,Harper Perennial,Science
38155,A People's Tragedy: The Russian Revolution: 1891-1924,Orlando Figes ,2017,Penguin Books,Technology
28767,A Perfect Vacuum,Stanisław Lem, Michael Kandel,1981,Northwestern University Press
25191,A Personal Matter,Kenzabur  Ōe, John Nathan,1993,Grove Press
30529,A Philosophical Enquiry into the Origin of our Ideas of the Sublime and Beautiful,Edmund Burke, Adam Phillips,2018,Oxford University Press
43072,A Picture Book of Anne Frank,David A. Adler, Karen Ritz,1988,Holiday House
37540,A Pinch of Poison (Hemlock Falls Mysteries  #3),Claudia Bishop ,1999,Berkley,History and geography
37538,A Pinch of Snuff (Dalziel & Pascoe  #5),Reginald Hill ,2004,Dell,Social sciences
42819,A Pirate Looks at Fifty,Jimmy Buffett, Leona Nevler,1970,Fawcett
29593,A Place So Foreign and Eight More,Cory Doctorow, Bruce Sterling,1999,Four Walls Eight Windows Press
35348,A Place Where the Sea Remembers,Sandra Benítez ,1967,Scribner,Religion
7591,A Portrait of the Artist as a Young Man,James Joyce, Jim Norton,1982,Naxos Audiobooks
7592,A Portrait of the Artist as a Young Man,James Joyce, Langdon Hammer,1954,Signet Classics
7588,A Portrait of the Artist as a Young Man,James Joyce, Seamus Deane,2007,Penguin Classics
14095,A Power Governments Cannot Suppress,Howard Zinn ,1991,City Lights Publishers,Language
28872,A Practical Guide to Dragons,Lisa Trumbauer, Emily Fiegenshuh,2009,Mirrorstone
4472,A Prayer for Owen Meany,John Irving ,1990,Modern Library,Philosophy and psychology
44514,A Preface to Democratic Theory,Robert A. Dahl ,1966,University of Chicago Press,Science
32289,A Primate's Memoir: A Neuroscientist's Unconventional Life Among the Baboons,Robert M. Sapolsky ,2003,Scribner,Philosophy and psychology
40395,A Princess of Mars (Barsoom  #1),Edgar Rice Burroughs, John Seelye,2008,Penguin Books
45250,A Quantum Murder (Greg Mandel  #2),Peter F. Hamilton ,1978,Tor Books,Social sciences
38568,A Quick Bite (Argeneau #1),Lynsay Sands ,2012,Avon,Technology
13199,A Quiver Full of Arrows,Jeffrey Archer ,1993,St. Martin's Paperbacks,Arts and recreation
26075,A Random Walk Down Wall Street,Burton G. Malkiel ,1997,W. W. Norton  Company,Social sciences
34227,A Reader's Digest Songbook: Remembering Yesterday's Hits,William L. Simon ,1953,Reader's Digest Association,Science
14375,A Reading Guide to Island of the Blue Dolphins,Patricia McHugh ,2000,Scholastic Reference,Arts and recreation
8004,A Redwall Winter's Tale,Brian Jacques, Christopher Denise,1971,Puffin
14358,A Ring of Endless Light (Austin Family  #4),Madeleine L'Engle ,2001,Bantam Doubleday Dell Publishing Group,Religion
38300,A River Runs Through It,Norman Maclean, Barry Moser,1994,University of Chicago Press
30043,A River Runs Through it and Other Stories,Norman Maclean, Annie Proulx,1955,University of Chicago Press
8086,A Robin McKinley Collection: Spindle's End  The Hero and the Crown and The Blue Sword (Folktales #1-3),Robin McKinley ,1954,Puffin,Technology
14943,A Room of One's Own,Virginia Woolf ,2016,Buccaneer Books,Language
18521,A Room of One's Own,Virginia Woolf ,2011,Penguin Books,Arts and recreation
3087,A Room with a View,E.M. Forster ,2021,Digireads.com,Philosophy and psychology
3088,A Room with a View / Howards End,E.M. Forster, Benjamin DeMott,1968,Signet
21062,A Rose for the Crown,Anne Easter Smith ,1980,Simon & Schuster,History and geography
18242,A Savage War of Peace: Algeria  1954-1962,Alistair Horne ,1968,New York Review of Books,History and geography
37277,A Scandalous Life: The Biography of Jane Digby,Mary S. Lovell ,1963,Fourth Estate,Social sciences
14817,A Scanner Darkly,Philip K. Dick ,1981,Gollancz,History and geography
37986,A Search for What Makes Sense: Finding Faith,Brian D. McLaren, Steve Chalke,1960,Zondervan Publishing Company
30410,A Secret Splendor,Erin St. Claire, Sandra Brown,1993,Mira (Mills and Boon)
30354,A Secret Splendor,Erin St. Claire, Sandra Brown,1973,Mira Books
2179,A Sentimental Education,Gustave Flaubert, Douglas Parmée,1992,Oxford University Press
5148,A Separate Peace,John Knowles, David Levithan,1999,Scribner
21609,A Separate War and Other Stories,Joe Haldeman, Connie Willis,1973,Ace Books
11253,A Severed Head,Iris Murdoch ,1996,Penguin Books,History and geography
208,A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham ,1950,Tor Books,Religion
6106,A Short History of Byzantium,John Julius Norwich ,1968,Vintage,Language
2855,A Short History of Decay,Emil M. Cioran, Richard Howard,2014,Arcade Publishing
31891,A Short History of Modern Philosophy (Routledge Classics),Roger Scruton ,1976,Routledge,Philosophy and psychology
21,A Short History of Nearly Everything,Bill Bryson ,1996,Broadway Books,Social sciences
3870,A Short History of Nearly Everything,Bill Bryson ,2013,Broadway Books,Religion
5089,A Short History of Nearly Everything (Illustrated Edition),Bill Bryson ,2000,Anchor Canada,Social sciences
33541,A Short History of World War I,James L. Stokesbury ,1988,William Morrow Paperbacks,Religion
8915,A Short History of World War II,James L. Stokesbury ,1999,William Morrow Paperbacks,Arts and recreation
11671,A Simple Habana Melody,Oscar Hijuelos ,2018,Harper Perennial,History and geography
16842,A Single Man,Christopher Isherwood ,1959,Univ Of Minnesota Press,Language
40021,A Slipping-Down Life,Anne Tyler ,1960,Ballantine Books,Philosophy and psychology
36639,A Small Pinch of Weather,Joan Aiken ,2001,HarperCollins Publishers,Literature
21091,A Smart Girl's Guide to Money: How to Make It  Save It  And Spend It,Nancy Holyoke, Ali Douglass,1982,American Girl Publishing Inc
40031,A Son of the Circus,Irving John ,2005,Bloomsbury,Science
12022,A Song Of Stone,Iain Banks ,2022,Little Brown,Technology
5969,A Sparrow Falls (Courtney #3),Wilbur Smith ,2002,St. Martin's Paperbacks,Language
29257,A Spiritual Journey,Ram Dass, Richard Alpert,2016,Macmillan Audio
42718,A Star Called Henry,Roddy Doyle ,1956,Vintage,Language
30247,A Stolen Season (Alex McKnight  #7),Steve Hamilton ,1954,Minotaur Books,Science
24626,A Stranger Came Ashore,Mollie Hunter, Lisa Falkenstern,1958,HarperCollins Publishers
12222,A Streetcar Named Desire,Tennessee Williams, Arthur Miller,2016,New Directions
12220,A Streetcar Named Desire,Tennessee Williams ,1955,Dramatists Play Service,Technology
12225,A Streetcar Named Desire (SparkNotes Literature Guide),SparkNotes ,1957,SparkNotes,Religion
30226,A Stroke of Midnight (Merry Gentry  #4),Laurell K. Hamilton ,2018,Ballantine Books,History and geography
27883,A Sudden Wild Magic,Diana Wynne Jones ,2022,Gollehon Books,Science
35334,A Summer to Remember (Bedwyn Prequels  #2),Mary Balogh ,2021,Dell,History and geography
6748,A Supposedly Fun Thing I'll Never Do Again:  Essays and Arguments,David Foster Wallace ,2015,Back Bay Books,Religion
6438,A Supposedly Fun Thing I'll Never Do Again: Essays and Arguments,David Foster Wallace ,1957,Little  Brown,Philosophy and psychology
27574,A Tale of Love and Darkness,Amos Oz, Nicholas de Lange,1999,Harvest / Harcourt
1959,A Tale of Two Cities,Charles Dickens, Gillen D'Arcy Wood,2016,Barnes  Noble Classics
17170,A Tale of Two Cities,Charles Dickens, Gillen D'Arcy Wood,2008,Barnes  Noble Classics
