13137,1st to Die (Women's Murder Club  #1),James Patterson ,2013,Grand Central Publishing,Social sciences
32830,20 000 Leagues Under The Sea,Pauline Francis, Jules Verne,2002,Evans Brothers
34247,200 Quilt Blocks: To Mix and Match,Davina Thomas ,2012,Krause Publications,Social sciences
44836,2006 International Building Code,International Code Council (ICC) ,2022,International Code Council,Technology
1814,2012: The Return of Quetzalcoatl,Daniel Pinchbeck ,2013,Tarcher,Literature
30351,22 Indigo Place,Sandra Brown ,2021,Bantam (Fanfare),Literature
2267,23 Days in July: Inside the Tour de France and Lance Armstrong's Record-Breaking Victory,John Wilcockson, Graham Watson,1969,Da Capo Press
19844,25 Ways to Win with People: How to Make Others Feel Like a Million Bucks,John C. Maxwell, Les Parrott III,2020,HarperCollins Leadership
13136,2nd Chance (Women's Murder Club  #2),James Patterson, Andrew Gross,2016,Grand Central Publishing
13155,3rd Degree (Women's Murder Club  #3),James Patterson, Andrew Gross,2013,Grand Central Publishing
31318,4:50 from Paddington / A Pocket Full of Rye (BBC Presents: Two Miss Marple Dramas),Agatha Christie ,2012,Random House Audio,Language
33668,4th of July (Women's Murder Club  #4),James Patterson, Maxine Paetro,2005,Vision
31573,50 Great Curries of India,Camellia Panjabi ,1976,Kyle Books,Philosophy and psychology
33551,7 Steps to Midnight,Richard Matheson ,2004,Forge Books,Language
44649,7 hábitos de las familias altamente efectivas,Stephen R. Covey ,1960,Grijalbo,Language
11900,72 Hour Hold,Bebe Moore Campbell ,1993,Anchor,Religion
5261,A Backward Glance,Edith Wharton, Louis Auchincloss,2010,Scribner
13912,A Beautiful Mind,Sylvia Nasar ,1970,Faber  Faber,Social sciences
5845,A Bend in the River,V.S. Naipaul ,1982,Picador USA,Science
3463,A Bend in the Road,Nicholas Sparks ,1987,Grand Central Publishing,Social sciences
24904,A Birthday for Frances,Russell Hoban, Lillian Hoban,1964,Harper Collins
38562,A Bite to Remember (Argeneau #5),Lynsay Sands ,1953,Avon,Language
11880,A Book of Blue Flowers,Robert L. Geneve ,1988,Timber Press (OR),Social sciences
422,A Book of Common Prayer,Joan Didion ,1997,Vintage International,Language
28231,A Box of Matches,Nicholson Baker ,1961,Vintage,History and geography
18551,A Break With Charity: A Story of the Salem Witch Trials,Ann Rinaldi ,2012,Turtleback Books,Philosophy and psychology
18549,A Break with Charity: A Story about the Salem Witch Trials,Ann Rinaldi ,2013,HMH Books for Young Readers,Religion
10965,A Breath of Snow and Ashes (Outlander  #6),Diana Gabaldon ,2014,Delta,Arts and recreation
3869,A Brief History of Time,Stephen Hawking ,1960,Bantam Books,Arts and recreation
2094,A Briefer History of Time,Stephen Hawking, Leonard Mlodinow,1964,Bantam
12419,A Calendar of Wisdom: Daily Thoughts to Nourish the Soul,Leo Tolstoy, Peter Sekirin,2021,Scribner
30240,A Caress of Twilight (Merry Gentry  #2),Laurell K. Hamilton ,1956,Ballantine Books,Social sciences
44321,A Cargo of Women: Susannah Watson and the Convicts of the Princess Royal,Babette Smith ,2016,Rosenberg Publishing,Religion
16313,A Caribbean Mystery,Agatha Christie, Rosalind Ayres,1992,Audiogo
31300,A Caribbean Mystery (Miss Marple  #10),Agatha Christie ,1992,Signet,Arts and recreation
13076,A Carl Hiaasen Collection: Stormy Weather  Tourist Season  and  Strip Tease,Carl Hiaasen, Edward Asner,2010,Random House Audio
7663,A Case of Need,Jeffery Hudson, Michael Crichton,1977,Signet
34468,A Cat  a Man  and Two Women,Jun'ichir  Tanizaki, Paul McCarthy,2016,Kodansha
24249,A Cavern of Black Ice (Sword of Shadows  #1),J.V. Jones ,1955,Tor Fantasy,Literature
29205,A Certain Justice (Abe Glitsky  #1),John Lescroart ,1998,Signet,Language
29204,A Certain Justice (Adam Dalgliesh  #10),P.D. James ,2006,Seal Books,Social sciences
20413,A Child's Garden of Verses,Robert Louis Stevenson, Tasha Tudor,1978,Simon & Schuster Books for Young Readers
3346,A Chosen Few: The Resurrection of European Jewry (Reader's Circle),Mark Kurlansky ,1953,Ballantine Books,Language
5327,A Christmas Carol,Charles Dickens, P.J. Lynch,2003,Candlewick Press
5328,A Christmas Carol,Charles Dickens ,2002,Penguin Books,Social sciences
41463,A Christmas Carol (Great Illustrated Classics),Malvina G. Vogel, Charles Dickens,1968,Abdo Publishing Company
5338,A Christmas Carol and Other Christmas Writings,Charles Dickens, Michael Slater,2003,Penguin Classics
9919,A Christmas Memory,Truman Capote ,1981,Knopf Books for Young Readers,Science
5319,A Christmas Story,Jean Shepherd ,1957,Broadway Books,Science
2819,A Circle of Quiet (Crosswicks Journals #1),Madeleine L'Engle ,1981,HarperOne,Philosophy and psychology
27397,A Civil Action,Jonathan Harr ,1957,Vintage,Arts and recreation
10572,A Clash of Kings  (A Song of Ice and Fire  #2),George R.R. Martin ,1991,Bantam,Literature
13504,A Clash of Kings (A Song of Ice and Fire  #2),George R.R. Martin, Roy Dotrice,1971,Random House Audio
8810,A Clockwork Orange,Anthony Burgess, Blake Morrison,1956,Penguin Classics
8811,A Clockwork Orange,Anthony Burgess ,1955,Penguin Books,Philosophy and psychology
8814,A Clockwork Orange (Stage Play),Anthony Burgess ,2014,Methuen Drama,Language
20235,A Cold Treachery (Inspector Ian Rutledge  #7),Charles Todd ,2000,Bantam,History and geography
34050,A Collection of Rudyard Kipling's Just So Stories,Rudyard Kipling, Christopher Corr,2001,Candlewick
26996,A Companion to Plato's Republic,Nicholas P. White ,1974,Hackett Publishing Company  Inc.,Arts and recreation
13374,A Complicated Kindness,Miriam Toews ,1952,Counterpoint LLC,Technology
13375,A Complicated Kindness (Bookclub-In-A-Box),Marilyn Herbert, Miriam Toews,1994,Bookclub-In-A-Box
24923,A Confederacy of Dunces,John Kennedy Toole, Walker Percy,2017,Penguin Classics
24922,A Confederacy of Dunces,John Kennedy Toole ,2011,Penguin Books  Limited (UK),Technology
12570,A Confederate General from Big Sur / Dreaming of Babylon / The Hawkline Monster,Richard Brautigan ,2008,Mariner Books,Language
3047,A Conflict of Visions: Ideological Origins of Political Struggles,Thomas Sowell ,1969,Basic Books,Arts and recreation
37349,A Couple of April Fools (The Hamlet Chronicles #6),Gregory Maguire, Elaine Clayton,2001,HarperCollins
25013,A Crack in the Edge of the World,Simon Winchester ,1979,Harper Perennial,Language
13890,A Crown of Swords (The Wheel of Time  #7),Robert Jordan ,1999,Tor Books,Religion
18057,A Damsel in Distress,P.G. Wodehouse ,1969,rbooks,Philosophy and psychology
31476,A Dance At The Slaughterhouse (Matthew Scudder  #9),Lawrence Block ,1978,Harper Paperbacks,History and geography
16113,A Dance to the Music of Time: 1st Movement (A Dance to the Music of Time  #1-3),Anthony Powell ,1992,University of Chicago Press,Literature
16115,A Dance to the Music of Time: 2nd Movement (A Dance to the Music of Time  #4-6),Anthony Powell ,1977,University of Chicago Press,Science
16114,A Dance to the Music of Time: 3rd Movement (A Dance to the Music of Time  #7-9),Anthony Powell ,1973,University of Chicago Press,History and geography
16111,A Dance to the Music of Time: 4th Movement (A Dance to the Music of Time  #10-12),Anthony Powell ,2012,University of Chicago Press,Philosophy and psychology
